country,customer_ID,invoice_number,invoice_date,due_date,invoice_amount_usd,disputed,dispute_lost,settled_date,days_to_settle,days_late
China,6160-HCSFI,4949816221,06/01/2021,05/02/2021,8564,0,0,01/02/2021,26,0
Spain,9883-SDWFS,4958732401,13/11/2021,13/12/2021,3202,0,0,04/12/2021,21,0
Spain,9460-VAZGD,4962937321,06/06/2020,06/07/2020,6782,0,0,26/06/2020,20,0
France,9771-QTLGZ,4073224041,14/12/2020,13/01/2021,4662,1,0,30/12/2020,16,0
United States,9323-NDIOV,4975085263,21/06/2020,21/07/2020,5366,0,0,07/08/2020,47,17
China,8156-PCYBM,4977232177,12/05/2020,11/06/2020,9336,0,0,11/06/2020,30,0
Spain,9250-VHLWY,4977937495,16/06/2020,16/07/2020,5181,0,0,15/07/2020,29,0
Russia,8887-NCUZC,4978138927,10/01/2020,09/02/2020,745,0,0,19/02/2020,40,10
France,6833-ETVHD,4982115880,26/10/2020,25/11/2020,4752,0,0,18/11/2020,23,0
Russia,9181-HEKGV,4983130271,17/06/2020,17/07/2020,6607,0,0,21/07/2020,34,4
Russia,5613-UHVMG,4984149604,24/01/2020,23/02/2020,4962,1,0,21/03/2020,57,27
France,9117-LYRCE,4988118072,04/11/2021,04/12/2021,4733,0,0,27/11/2021,23,0
China,6160-HCSFI,4988241929,03/10/2021,02/11/2021,6864,0,0,17/10/2021,14,0
China,6708-DPYTF,4989401437,17/02/2021,19/03/2021,5699,0,0,14/03/2021,25,0
United States,9928-IJYBQ,4992290949,25/07/2020,24/08/2020,3861,0,0,26/08/2020,32,2
Spain,3676-CQAIF,4999718461,14/01/2021,13/02/2021,1064,0,0,03/02/2021,20,0
Russia,7946-HJDUR,5002957961,24/06/2020,24/07/2020,6190,0,0,20/07/2020,26,0
France,9117-LYRCE,5004037531,27/05/2021,26/06/2021,4873,0,0,05/07/2021,39,9
China,7841-HROAQ,5007692123,03/07/2021,02/08/2021,6303,1,0,10/08/2021,38,8
Spain,0688-XNJRO,5010861294,19/02/2021,21/03/2021,2538,0,0,21/03/2021,30,0
Russia,7695-NKUXM,5012738148,01/07/2021,31/07/2021,4425,0,0,06/07/2021,5,0
China,7329-TWKLF,5016123354,27/01/2021,26/02/2021,9438,0,0,16/02/2021,20,0
Spain,9286-VLKMI,5018112852,09/01/2021,08/02/2021,5290,0,0,12/01/2021,3,0
United States,7228-LEPPM,5023901716,21/01/2021,20/02/2021,8996,1,1,13/03/2021,51,21
Spain,9460-VAZGD,5025374541,22/02/2020,23/03/2020,5714,0,0,13/03/2020,20,0
France,5164-VMYWJ,9807005414,15/12/2020,14/01/2021,5950,1,0,27/01/2021,43,13
United States,9928-IJYBQ,5029459580,10/07/2020,09/08/2020,3463,0,0,03/08/2020,24,0
United States,9149-MATVB,5031169107,08/11/2021,08/12/2021,3465,0,0,25/11/2021,17,0
China,9174-IYKOC,5031980496,29/09/2020,29/10/2020,6680,0,0,29/10/2020,30,0
United States,2447-JCFGW,5032711986,26/10/2021,25/11/2021,8234,0,0,10/11/2021,15,0
China,5920-DPXLN,5040778858,02/10/2021,01/11/2021,5312,0,0,23/10/2021,21,0
France,4640-FGEJI,6360019650,17/12/2020,16/01/2021,9967,1,0,06/02/2021,51,21
Russia,1604-LIFKX,5046787811,31/05/2021,30/06/2021,7766,0,0,05/07/2021,35,5
United States,6831-FIODB,5047086979,05/06/2020,05/07/2020,7150,1,0,04/08/2020,60,30
Spain,6391-GBFQJ,5048564900,04/03/2021,03/04/2021,4649,1,0,03/04/2021,30,0
China,0379-NEVHP,5051186703,01/07/2020,31/07/2020,4225,0,0,17/07/2020,16,0
Spain,1408-OQZUE,5051542190,04/07/2020,03/08/2020,5395,1,1,01/09/2020,59,29
United States,9149-MATVB,5069265898,15/07/2021,14/08/2021,4653,0,0,05/08/2021,21,0
China,5196-TWQXF,5080141194,30/12/2020,29/01/2021,4580,0,0,10/01/2021,11,0
Spain,6296-UKEUZ,5087638061,06/02/2021,08/03/2021,2200,0,0,08/02/2021,2,0
United States,2687-XWAMA,5104471628,08/08/2021,07/09/2021,6258,0,0,19/08/2021,11,0
Spain,8690-EEBEO,5106033344,21/09/2021,21/10/2021,4094,0,0,18/10/2021,27,0
United States,2447-JCFGW,5112375133,22/08/2021,21/09/2021,3725,0,0,17/09/2021,26,0
Russia,7695-NKUXM,5115237233,22/09/2021,22/10/2021,5704,0,0,24/09/2021,2,0
China,5196-TWQXF,5118980474,08/11/2021,08/12/2021,6922,0,0,21/11/2021,13,0
China,2820-XGXSB,5120935092,03/02/2020,04/03/2020,8315,0,0,12/02/2020,9,0
France,1447-YZKCL,5126179664,17/05/2021,16/06/2021,5835,0,0,08/06/2021,22,0
Russia,8887-NCUZC,5128563640,19/09/2021,19/10/2021,1658,0,0,12/10/2021,23,0
Spain,1408-OQZUE,5129304908,23/09/2021,23/10/2021,4066,0,0,05/11/2021,43,13
China,6708-DPYTF,5133177585,03/01/2020,02/02/2020,5537,0,0,16/02/2020,44,14
China,6632-CGYHU,5135727501,01/09/2021,01/10/2021,6888,0,0,07/09/2021,6,0
China,3569-VJWXS,5137377854,07/05/2021,06/06/2021,5063,0,0,21/05/2021,14,0
Russia,8887-NCUZC,5143348258,26/05/2021,25/06/2021,2784,1,0,05/07/2021,40,10
China,1080-NDGAE,5144461624,13/11/2021,13/12/2021,10193,1,0,16/12/2021,33,3
United States,3993-QUNVJ,5153888748,14/08/2021,13/09/2021,5420,0,0,26/08/2021,12,0
China,1080-NDGAE,5156029827,18/10/2020,17/11/2020,7357,1,0,17/11/2020,30,0
Russia,3568-JJMFW,5157346968,06/09/2021,06/10/2021,4502,0,0,12/09/2021,6,0
France,9758-AIEIK,7101585538,19/12/2020,18/01/2021,6549,1,0,23/01/2021,35,5
Russia,2824-HJQPP,5181531445,29/02/2020,30/03/2020,6086,0,0,28/03/2020,28,0
France,6833-ETVHD,5190923189,28/03/2021,27/04/2021,6025,0,0,15/04/2021,18,0
Spain,8942-ERSWK,5198527757,17/02/2020,18/03/2020,3897,0,0,29/02/2020,12,0
United States,2687-XWAMA,5201178540,14/07/2020,13/08/2020,6266,0,0,25/07/2020,11,0
Russia,9181-HEKGV,5202032585,02/05/2020,01/06/2020,5819,0,0,06/06/2020,35,5
Russia,2824-HJQPP,5210865686,18/11/2020,18/12/2020,5160,0,0,05/12/2020,17,0
Russia,2824-HJQPP,5211032490,02/02/2020,03/03/2020,7047,0,0,03/03/2020,30,0
Russia,3568-JJMFW,5211667829,03/08/2021,02/09/2021,6453,1,0,24/08/2021,21,0
China,2676-DZINU,5212915028,03/05/2020,02/06/2020,5978,0,0,23/05/2020,20,0
China,7841-HROAQ,5213055907,01/02/2020,02/03/2020,5620,1,0,09/03/2020,37,7
Spain,7372-CESLR,5215762025,10/01/2020,09/02/2020,4775,0,0,03/02/2020,24,0
France,9322-YCTQO,5216037175,13/04/2020,13/05/2020,8324,0,0,23/05/2020,40,10
China,0187-ERLSR,5219455796,17/10/2021,16/11/2021,7719,0,0,20/10/2021,3,0
China,5529-TBPGK,5221373409,16/08/2020,15/09/2020,5921,0,0,23/09/2020,38,8
Spain,3271-YDPUJ,5224697080,27/07/2020,26/08/2020,4631,1,0,24/08/2020,28,0
Spain,6296-UKEUZ,5225282488,07/09/2021,07/10/2021,6124,0,0,08/09/2021,1,0
United States,9323-NDIOV,5230964660,19/11/2020,19/12/2020,6046,0,0,20/12/2020,31,1
Spain,9286-VLKMI,5231639672,31/01/2020,01/03/2020,7332,0,0,04/02/2020,4,0
Spain,7372-CESLR,5244938150,25/05/2020,24/06/2020,3458,0,0,13/06/2020,19,0
France,9725-EZTEJ,9923030049,26/12/2020,25/01/2021,7112,1,1,29/01/2021,34,4
France,3448-OWJOT,3806835104,11/12/2020,10/01/2021,5983,1,1,14/01/2021,34,4
Russia,7946-HJDUR,5274457788,01/09/2020,01/10/2020,6057,0,0,27/09/2020,26,0
Spain,0688-XNJRO,5277730076,02/05/2021,01/06/2021,4131,0,0,16/06/2021,45,15
China,8820-BLYDZ,5280781969,19/07/2020,18/08/2020,7013,0,0,28/07/2020,9,0
China,6632-CGYHU,5284159199,16/09/2021,16/10/2021,6847,0,0,28/09/2021,12,0
Russia,8102-ABPKQ,5288556291,05/07/2021,04/08/2021,8530,1,0,29/08/2021,55,25
Russia,8364-UWVLM,5302225359,04/06/2021,04/07/2021,6358,0,0,24/06/2021,20,0
United States,7228-LEPPM,5307752603,23/01/2020,22/02/2020,8710,0,0,08/03/2020,45,15
China,7329-TWKLF,5308271793,06/07/2020,05/08/2020,7384,0,0,01/08/2020,26,0
China,5920-DPXLN,5315380309,23/10/2021,22/11/2021,6119,0,0,05/11/2021,13,0
China,8820-BLYDZ,5318528972,28/05/2020,27/06/2020,9599,0,0,12/06/2020,15,0
United States,2687-XWAMA,5320556174,15/10/2020,14/11/2020,5788,0,0,20/10/2020,5,0
France,7600-OISKG,6252751133,11/01/2021,10/02/2021,7547,1,0,24/02/2021,44,14
France,9322-YCTQO,5345209605,22/05/2021,21/06/2021,9835,0,0,25/06/2021,34,4
China,1080-NDGAE,5348963302,27/04/2020,27/05/2020,9660,0,0,22/05/2020,25,0
France,8389-TCXFQ,2941967523,12/01/2021,11/02/2021,6035,1,0,17/02/2021,36,6
Russia,5148-SYKLB,5353996897,11/06/2021,11/07/2021,8415,1,0,23/07/2021,42,12
China,3569-VJWXS,5358292729,03/04/2020,03/05/2020,6575,0,0,30/04/2020,27,0
France,6048-QPZCF,5359595729,06/06/2020,06/07/2020,9648,0,0,12/06/2020,6,0
Russia,9181-HEKGV,5364802553,30/12/2020,29/01/2021,8700,1,0,04/03/2021,64,34
United States,6831-FIODB,5365850526,16/02/2020,17/03/2020,5707,0,0,16/03/2020,29,0
Spain,3676-CQAIF,5367243443,01/06/2020,01/07/2020,5381,1,0,20/07/2020,49,19
China,2125-HJDLA,5370094352,13/02/2020,14/03/2020,2425,0,0,29/03/2020,45,15
China,6160-HCSFI,5375281177,26/11/2021,26/12/2021,8085,0,0,07/12/2021,11,0
China,5196-TWQXF,5376212799,03/02/2021,05/03/2021,6547,0,0,25/02/2021,22,0
France,0783-PEPYR,5378812305,18/09/2021,18/10/2021,5858,0,0,19/10/2021,31,1
France,6833-ETVHD,5390563017,12/08/2021,11/09/2021,6240,0,0,06/09/2021,25,0
Russia,1604-LIFKX,5395803659,18/10/2021,17/11/2021,5164,0,0,27/11/2021,40,10
France,9117-LYRCE,5400778193,25/09/2020,25/10/2020,3719,0,0,01/11/2020,37,7
France,4092-ZAVRG,5404048854,07/08/2021,06/09/2021,7308,0,0,08/08/2021,1,0
United States,0465-DTULQ,5406697446,16/06/2020,16/07/2020,3987,1,0,03/08/2020,48,18
Spain,9883-SDWFS,5408072058,27/04/2021,27/05/2021,4286,1,0,18/06/2021,52,22
France,4632-QZOKX,5338397427,12/01/2021,11/02/2021,6561,1,0,20/02/2021,39,9
United States,5592-UQXSS,5417879278,07/04/2020,07/05/2020,3708,1,0,12/05/2020,35,5
Spain,8690-EEBEO,5419865968,11/08/2021,10/09/2021,6283,0,0,07/09/2021,27,0
United States,5592-UQXSS,5420077969,05/06/2021,05/07/2021,3436,0,0,21/06/2021,16,0
China,6708-DPYTF,5423618299,20/03/2021,19/04/2021,8159,0,0,28/04/2021,39,9
China,7329-TWKLF,5433217651,21/10/2021,20/11/2021,7859,0,0,13/11/2021,23,0
United States,0625-TNJFG,5437619752,05/07/2021,04/08/2021,6985,0,0,06/08/2021,32,2
France,9322-YCTQO,5439908314,17/05/2021,16/06/2021,7098,0,0,23/06/2021,37,7
France,4640-FGEJI,5445841992,21/10/2021,20/11/2021,9742,1,1,14/11/2021,24,0
France,5573-KSOIA,769617971,17/01/2021,16/02/2021,8627,1,1,28/02/2021,42,12
China,8156-PCYBM,5453381490,10/06/2021,10/07/2021,6264,0,0,14/07/2021,34,4
United States,7260-ZHAKS,5454474839,30/08/2020,29/09/2020,10051,0,0,26/09/2020,27,0
China,2820-XGXSB,5458519467,02/05/2020,01/06/2020,7362,0,0,07/05/2020,5,0
China,8820-BLYDZ,5464873037,28/08/2021,27/09/2021,9883,0,0,31/08/2021,3,0
France,8389-TCXFQ,5471402464,09/01/2021,08/02/2021,5120,0,0,24/01/2021,15,0
France,4651-PMEXQ,5473678800,05/09/2021,05/10/2021,7029,0,0,28/09/2021,23,0
France,6833-ETVHD,5480294344,01/10/2020,31/10/2020,7456,0,0,20/10/2020,19,0
United States,3831-FXWYK,5485299924,02/11/2020,02/12/2020,7447,0,0,17/12/2020,45,15
France,5573-KSOIA,4403696251,24/01/2021,23/02/2021,8137,1,0,14/03/2021,49,19
France,5573-KSOIA,5506147573,02/10/2021,01/11/2021,8431,0,0,26/10/2021,24,0
France,8976-AMJEO,7900770,26/01/2021,25/02/2021,6174,1,0,03/03/2021,36,6
United States,7758-WKLVM,5510823569,11/04/2020,11/05/2020,3006,0,0,17/05/2020,36,6
United States,7260-ZHAKS,5516916159,23/01/2021,22/02/2021,8332,0,0,06/02/2021,14,0
United States,0465-DTULQ,5519301828,30/01/2020,29/02/2020,5934,1,0,21/03/2020,51,21
France,4640-FGEJI,5531824498,06/11/2020,06/12/2020,9558,0,0,06/12/2020,30,0
China,8156-PCYBM,5535719066,25/11/2020,25/12/2020,4600,0,0,20/12/2020,25,0
France,1447-YZKCL,5536234391,01/11/2020,01/12/2020,6120,0,0,10/12/2020,39,9
China,1080-NDGAE,5536610902,29/06/2021,29/07/2021,8997,1,0,01/08/2021,33,3
United States,0625-TNJFG,5539674578,05/11/2021,05/12/2021,4440,0,0,02/12/2021,27,0
Russia,5924-UOPGH,5551365805,22/09/2020,22/10/2020,9658,0,0,07/10/2020,15,0
France,0783-PEPYR,5554040283,17/02/2021,19/03/2021,5936,0,0,30/03/2021,41,11
Russia,6627-ELFBK,5554804891,21/08/2021,20/09/2021,7724,0,0,09/09/2021,19,0
France,4651-PMEXQ,9071684141,29/01/2021,28/02/2021,10201,1,0,10/03/2021,40,10
France,7938-EVASK,5570997637,19/01/2020,18/02/2020,4377,0,0,29/02/2020,41,11
France,4092-ZAVRG,5584045928,25/08/2020,24/09/2020,7220,0,0,28/08/2020,3,0
Russia,3271-HYHDN,5584805665,23/07/2021,22/08/2021,7102,0,0,23/07/2021,0,0
Russia,5924-UOPGH,5589625888,10/02/2021,12/03/2021,6146,0,0,02/03/2021,20,0
China,7841-HROAQ,5591470956,25/08/2020,24/09/2020,7294,0,0,25/09/2020,31,1
France,6833-ETVHD,5600044644,07/01/2021,06/02/2021,6751,0,0,22/01/2021,15,0
China,2423-QOKIO,5600941018,27/01/2020,26/02/2020,5373,0,0,05/03/2020,38,8
Russia,5924-UOPGH,5601820333,25/09/2021,25/10/2021,7669,0,0,09/10/2021,14,0
Russia,6004-KITZM,5606369890,23/02/2021,25/03/2021,7090,0,0,15/03/2021,20,0
Russia,7695-NKUXM,5609216425,16/11/2020,16/12/2020,6940,0,0,29/11/2020,13,0
Russia,5613-UHVMG,5612029362,07/02/2021,09/03/2021,7282,1,0,01/04/2021,53,23
France,6833-ETVHD,5614207522,24/01/2021,23/02/2021,5925,0,0,11/02/2021,18,0
France,6048-QPZCF,5616666227,16/05/2021,15/06/2021,9296,0,0,22/05/2021,6,0
Russia,7946-HJDUR,5619336586,03/06/2021,03/07/2021,7507,0,0,30/06/2021,27,0
United States,7758-WKLVM,5627371581,28/05/2020,27/06/2020,5522,0,0,25/06/2020,28,0
Spain,0688-XNJRO,5633925313,12/04/2021,12/05/2021,3475,0,0,04/06/2021,53,23
China,9174-IYKOC,5636675950,21/03/2020,20/04/2020,6881,1,0,12/05/2020,52,22
United States,7050-KQLDO,5636946317,07/04/2021,07/05/2021,5724,0,0,30/04/2021,23,0
United States,9323-NDIOV,5641290183,09/12/2020,08/01/2021,5449,0,0,07/01/2021,29,0
Russia,6004-KITZM,5652779440,20/11/2020,20/12/2020,6427,0,0,07/12/2020,17,0
Spain,6391-GBFQJ,5663633073,28/03/2021,27/04/2021,733,0,0,21/04/2021,24,0
France,4640-FGEJI,5666197272,01/09/2021,01/10/2021,4237,0,0,24/09/2021,23,0
China,6160-HCSFI,5667168406,04/06/2021,04/07/2021,6897,0,0,20/06/2021,16,0
United States,9149-MATVB,5669083173,02/07/2021,01/08/2021,3626,0,0,25/07/2021,23,0
United States,4460-ZXNDN,5670127659,01/10/2020,31/10/2020,5960,1,0,03/11/2020,33,3
United States,0706-NRGUP,5671103218,05/12/2020,04/01/2021,2578,0,0,30/12/2020,25,0
Russia,1604-LIFKX,5672264098,22/12/2020,21/01/2021,5262,0,0,05/02/2021,45,15
Spain,3271-YDPUJ,5689526714,21/01/2021,20/02/2021,6444,1,0,22/02/2021,32,2
China,6160-HCSFI,5709007782,02/02/2021,04/03/2021,8552,0,0,23/02/2021,21,0
Russia,7946-HJDUR,5713630505,19/08/2021,18/09/2021,5194,0,0,20/09/2021,32,2
Russia,1604-LIFKX,5715617144,28/06/2020,28/07/2020,5991,0,0,11/08/2020,44,14
France,2621-XCLEH,5722625204,23/03/2020,22/04/2020,8905,0,0,14/05/2020,52,22
France,6833-ETVHD,5728598959,17/10/2021,16/11/2021,7170,0,0,06/11/2021,20,0
China,6632-CGYHU,5732190469,07/08/2021,06/09/2021,7051,0,0,18/08/2021,11,0
France,1447-YZKCL,5732886455,13/09/2020,13/10/2020,5514,0,0,13/10/2020,30,0
United States,6077-FDQRK,5734148846,15/08/2021,14/09/2021,5836,0,0,27/08/2021,12,0
China,7209-MDWKR,5743371067,04/10/2020,03/11/2020,5588,0,0,14/11/2020,41,11
France,8389-TCXFQ,2250514490,31/01/2021,02/03/2021,6278,1,1,12/03/2021,40,10
France,1447-YZKCL,5750325838,16/11/2021,16/12/2021,7733,1,0,17/12/2021,31,1
France,4651-PMEXQ,5753468265,01/07/2020,31/07/2020,9497,0,0,02/08/2020,32,2
China,0187-ERLSR,5759027335,11/11/2021,11/12/2021,8318,1,0,24/11/2021,13,0
France,8389-TCXFQ,7277413369,09/02/2021,11/03/2021,6241,1,0,28/03/2021,47,17
Spain,9286-VLKMI,5759365584,13/02/2021,15/03/2021,5143,0,0,18/02/2021,5,0
Spain,3676-CQAIF,5769308033,10/06/2020,10/07/2020,3532,1,0,28/07/2020,48,18
France,4092-ZAVRG,5769746861,27/06/2020,27/07/2020,7309,0,0,30/06/2020,3,0
Russia,3568-JJMFW,5770867325,21/04/2020,21/05/2020,6397,0,0,03/05/2020,12,0
France,0783-PEPYR,5777629589,02/09/2020,02/10/2020,5726,0,0,09/10/2020,37,7
United States,0625-TNJFG,5779088948,19/11/2020,19/12/2020,6284,0,0,13/12/2020,24,0
China,9212-BTDMX,5783904084,15/07/2020,14/08/2020,2491,0,0,28/07/2020,13,0
China,0379-NEVHP,5786890759,09/01/2021,08/02/2021,3441,0,0,27/01/2021,18,0
United States,2687-XWAMA,5792413329,26/06/2020,26/07/2020,4764,0,0,10/07/2020,14,0
United States,2026-XLBER,5796159925,08/09/2021,08/10/2021,5516,0,0,17/09/2021,9,0
France,5284-DJOZO,5802848218,14/12/2020,13/01/2021,8219,0,0,18/12/2020,4,0
Spain,8942-ERSWK,5804051179,17/11/2020,17/12/2020,2941,0,0,03/12/2020,16,0
Spain,1408-OQZUE,5822411556,12/12/2020,11/01/2021,6429,1,0,27/01/2021,46,16
China,6708-DPYTF,5826992356,03/10/2021,02/11/2021,10525,0,0,03/11/2021,31,1
United States,2687-XWAMA,5831823402,21/01/2020,20/02/2020,3278,0,0,02/02/2020,12,0
United States,0625-TNJFG,5833648536,13/07/2021,12/08/2021,8163,0,0,04/08/2021,22,0
France,2621-XCLEH,5834509499,02/03/2020,01/04/2020,6751,0,0,28/04/2020,57,27
United States,3831-FXWYK,5834961407,09/08/2020,08/09/2020,7390,0,0,10/09/2020,32,2
France,6833-ETVHD,5844695758,10/01/2020,09/02/2020,7166,0,0,10/02/2020,31,1
United States,9149-MATVB,5851010658,01/04/2020,01/05/2020,5610,0,0,30/04/2020,29,0
United States,0625-TNJFG,5853943614,24/02/2020,25/03/2020,6239,0,0,25/03/2020,30,0
United States,3831-FXWYK,5854224600,02/09/2021,02/10/2021,5631,0,0,27/09/2021,25,0
Spain,3271-YDPUJ,5861341441,18/01/2021,17/02/2021,4479,1,0,24/02/2021,37,7
Spain,9250-VHLWY,5863004374,09/01/2021,08/02/2021,5253,0,0,11/02/2021,33,3
China,5196-TWQXF,5865149984,26/05/2021,25/06/2021,5510,0,0,16/06/2021,21,0
United States,7050-KQLDO,5865665884,28/01/2020,27/02/2020,6489,0,0,16/02/2020,19,0
United States,7758-WKLVM,5865860062,19/03/2020,18/04/2020,4842,1,0,09/05/2020,51,21
United States,2687-XWAMA,5866198434,13/05/2020,12/06/2020,5625,0,0,23/05/2020,10,0
China,7209-MDWKR,5866933192,14/07/2021,13/08/2021,6232,0,0,19/08/2021,36,6
Spain,0688-XNJRO,5868117840,05/07/2020,04/08/2020,2442,0,0,15/08/2020,41,11
Spain,3271-YDPUJ,5870483009,24/08/2020,23/09/2020,2308,0,0,13/09/2020,20,0
China,6632-CGYHU,5872970998,29/05/2021,28/06/2021,8589,0,0,06/06/2021,8,0
United States,9149-MATVB,5876175760,05/06/2020,05/07/2020,6406,0,0,13/07/2020,38,8
Russia,8102-ABPKQ,5882624218,17/03/2021,16/04/2021,7685,1,0,03/05/2021,47,17
France,1447-YZKCL,5893003141,25/05/2020,24/06/2020,7136,0,0,26/06/2020,32,2
China,9174-IYKOC,5895996518,09/07/2021,08/08/2021,6539,0,0,02/08/2021,24,0
Russia,3568-JJMFW,5896450110,30/12/2020,29/01/2021,5693,1,0,17/01/2021,18,0
China,6708-DPYTF,5897876193,04/07/2020,03/08/2020,7681,0,0,16/08/2020,43,13
France,7938-EVASK,5900977077,04/05/2021,03/06/2021,6579,0,0,28/05/2021,24,0
France,9771-QTLGZ,7880714904,09/02/2021,11/03/2021,6107,1,0,25/02/2021,16,0
China,9174-IYKOC,5905976017,19/03/2021,18/04/2021,5746,0,0,06/04/2021,18,0
United States,3831-FXWYK,5908935254,25/03/2021,24/04/2021,8586,0,0,27/04/2021,33,3
Spain,9250-VHLWY,5915326736,16/04/2020,16/05/2020,4970,0,0,08/05/2020,22,0
China,7209-MDWKR,5916379112,21/01/2020,20/02/2020,8190,0,0,16/02/2020,26,0
France,9322-YCTQO,5920658489,30/10/2021,29/11/2021,9132,0,0,25/11/2021,26,0
Russia,1604-LIFKX,5928070131,03/01/2020,02/02/2020,9760,0,0,25/02/2020,53,23
Spain,1168-BEASA,5934744260,18/08/2021,17/09/2021,5868,0,0,12/09/2021,25,0
Spain,6177-VTITE,5937906260,30/06/2021,30/07/2021,2189,0,0,14/07/2021,14,0
France,9758-AIEIK,5939094178,13/02/2020,14/03/2020,5542,0,0,03/03/2020,19,0
China,2423-QOKIO,5939164853,09/07/2020,08/08/2020,7043,0,0,16/08/2020,38,8
Russia,8887-NCUZC,5945158356,11/06/2021,11/07/2021,5319,0,0,09/07/2021,28,0
United States,5592-UQXSS,5949242829,06/11/2021,06/12/2021,4487,1,0,11/12/2021,35,5
United States,3831-FXWYK,5950285853,05/01/2021,04/02/2021,6312,1,0,18/02/2021,44,14
China,5196-TWQXF,5955530230,13/05/2021,12/06/2021,1657,0,0,04/06/2021,22,0
United States,3831-FXWYK,5959305622,18/11/2021,18/12/2021,7837,0,0,15/12/2021,27,0
Spain,0688-XNJRO,5963438295,16/07/2021,15/08/2021,2579,0,0,23/08/2021,38,8
Spain,8690-EEBEO,5972339733,19/08/2020,18/09/2020,5940,0,0,23/09/2020,35,5
France,8976-AMJEO,5978287436,23/05/2021,22/06/2021,3960,0,0,18/06/2021,26,0
China,2125-HJDLA,5983180705,07/03/2020,06/04/2020,3845,0,0,22/04/2020,46,16
France,5573-KSOIA,5984065624,29/08/2021,28/09/2021,8737,0,0,30/09/2021,32,2
France,6048-QPZCF,8514889441,10/02/2021,12/03/2021,9214,1,0,22/02/2021,12,0
Spain,6177-VTITE,5991374516,02/11/2021,02/12/2021,5511,0,0,10/11/2021,8,0
Russia,2824-HJQPP,5993794287,27/07/2021,26/08/2021,3602,0,0,18/08/2021,22,0
China,0187-ERLSR,5995302563,04/03/2021,03/04/2021,3172,0,0,11/03/2021,7,0
China,9174-IYKOC,5995642092,08/03/2020,07/04/2020,3546,0,0,12/04/2020,35,5
Spain,7654-DOLHO,5999019394,27/12/2020,26/01/2021,526,0,0,23/01/2021,27,0
United States,2687-XWAMA,6008733621,14/10/2021,13/11/2021,4880,0,0,19/10/2021,5,0
Russia,8887-NCUZC,6014957446,09/10/2021,08/11/2021,5555,1,0,13/11/2021,35,5
Spain,3271-YDPUJ,6017503839,27/05/2021,26/06/2021,3023,0,0,12/06/2021,16,0
China,0187-ERLSR,6018471272,07/05/2021,06/06/2021,7987,0,0,15/05/2021,8,0
China,9174-IYKOC,6019130159,13/10/2020,12/11/2020,7375,0,0,06/11/2020,24,0
United States,6077-FDQRK,6021346193,26/07/2020,25/08/2020,6303,0,0,17/08/2020,22,0
United States,4460-ZXNDN,6023663421,09/04/2020,09/05/2020,6197,1,0,25/05/2020,46,16
Russia,8364-UWVLM,6025796693,29/02/2020,30/03/2020,6831,0,0,29/03/2020,29,0
Russia,5875-VZQCZ,6032999481,18/03/2021,17/04/2021,8121,1,0,11/05/2021,54,24
France,6048-QPZCF,284482411,14/02/2021,16/03/2021,8790,1,0,17/03/2021,31,1
United States,6077-FDQRK,6035899942,10/07/2020,09/08/2020,5352,0,0,02/08/2020,23,0
France,6048-QPZCF,6040813966,25/09/2020,25/10/2020,8423,0,0,30/09/2020,5,0
Russia,6004-KITZM,6045344090,16/04/2021,16/05/2021,7288,0,0,05/05/2021,19,0
Russia,8887-NCUZC,6050714721,03/01/2020,02/02/2020,1599,1,0,15/02/2020,43,13
Russia,7695-NKUXM,6051615131,25/08/2020,24/09/2020,2752,0,0,29/08/2020,4,0
United States,0625-TNJFG,6052640963,11/11/2021,11/12/2021,8368,0,0,01/12/2021,20,0
France,4092-ZAVRG,6053161771,10/02/2021,12/03/2021,7356,0,0,11/02/2021,1,0
China,2125-HJDLA,6059076054,05/10/2020,04/11/2020,3205,0,0,31/10/2020,26,0
China,9841-XLGBV,6059357698,27/07/2021,26/08/2021,3112,0,0,24/08/2021,28,0
France,7938-EVASK,6062304635,07/09/2020,07/10/2020,11121,0,0,29/09/2020,22,0
Russia,5148-SYKLB,6067368978,18/06/2020,18/07/2020,8848,1,0,31/07/2020,43,13
United States,3993-QUNVJ,6079394028,23/07/2020,22/08/2020,6176,0,0,09/08/2020,17,0
Spain,6177-VTITE,6080109452,11/02/2021,13/03/2021,5705,0,0,27/02/2021,16,0
United States,7228-LEPPM,6081045243,30/06/2020,30/07/2020,6915,0,0,13/08/2020,44,14
China,6708-DPYTF,6085710390,29/04/2021,29/05/2021,8204,0,0,23/05/2021,24,0
Spain,0688-XNJRO,6088063371,08/02/2020,09/03/2020,6828,0,0,25/03/2020,46,16
Spain,6296-UKEUZ,6089084877,16/03/2020,15/04/2020,4339,0,0,18/03/2020,2,0
Spain,1168-BEASA,6095691270,06/09/2020,06/10/2020,4317,0,0,25/09/2020,19,0
France,2621-XCLEH,6107289576,27/04/2021,27/05/2021,6576,0,0,03/06/2021,37,7
China,6160-HCSFI,6107650729,26/07/2020,25/08/2020,6072,0,0,21/08/2020,26,0
France,3448-OWJOT,7792341685,01/01/2021,31/01/2021,7135,1,1,04/02/2021,34,4
Spain,9286-VLKMI,6110785497,01/06/2020,01/07/2020,8650,0,0,10/06/2020,9,0
France,8389-TCXFQ,4171825761,25/02/2021,27/03/2021,8867,1,1,26/03/2021,29,0
United States,7856-ODQFO,6115848018,02/07/2020,01/08/2020,3012,0,0,01/08/2020,30,0
